slug,PNL,isWin,1s,3s,5s,10s,20s,30s,45s,60s,120s,180s,220s
btc-updown-15m-1768839300,2.46,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.08000000000000002,0.16999999999999998,0.2,0.2,0.2,0.24
btc-updown-15m-1768840200,2.76,true,0,0,0.02999999999999997,0.02999999999999997,0.02999999999999997,0.02999999999999997,0.08999999999999997,0.15999999999999998,0.15999999999999998,0.27,0.27
btc-updown-15m-1768841100,-7.24,false,0,0.04000000000000003,0.04000000000000003,0.04000000000000003,0.07000000000000003,0.07000000000000003,0.12000000000000002,0.12000000000000002,0.12000000000000002,0.12000000000000002,0.21
btc-updown-15m-1768842000,-7.44,false,0,0,0,0.020000000000000014,0.03999999999999998,0.06,0.2,0.23,0.23,0.23,0.23
btc-updown-15m-1768842900,3.15,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.04000000000000003,0.06,0.11,0.11,0.16999999999999998,0.16999999999999998,0.18
btc-updown-15m-1768843800,2.46,true,0.04999999999999999,0.06,0.07999999999999999,0.07999999999999999,0.07999999999999999,0.07999999999999999,0.12999999999999998,0.12999999999999998,0.12999999999999998,0.2,0.31999999999999995
btc-updown-15m-1768844700,2.26,true,0,0,0,0.00999999999999998,0.04000000000000001,0.09,0.16,0.17,0.23,0.29000000000000004,0.29000000000000004
btc-updown-15m-1768845600,2.76,true,0.009999999999999952,0.01999999999999996,0.01999999999999996,0.01999999999999996,0.03999999999999998,0.03999999999999998,0.16,0.18999999999999995,0.41999999999999993,0.45,0.46
btc-updown-15m-1768846500,2.46,true,0,0,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.21,0.21,0.25,0.32999999999999996,0.4300000000000001
btc-updown-15m-1768847400,-7.05,false,0,0,0,0,0,0,0.07,0.14,0.18,0.33,0.33
btc-updown-15m-1768848300,3.25,true,0,0,0,0,0,0,0.020000000000000014,0.11,0.3400000000000001,0.3500000000000001,0.3500000000000001
btc-updown-15m-1768849200,2.66,true,0,0,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.020000000000000014,0.02999999999999997,0.03999999999999998,0.11,0.27
btc-updown-15m-1768850100,-6.95,false,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.04999999999999999,0.04999999999999999,0.12,0.13,0.16,0.2,0.30999999999999994
btc-updown-15m-1768851000,3.25,true,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.06,0.14999999999999997,0.31,0.3799999999999999,0.3799999999999999
btc-updown-15m-1768851900,2.56,true,0,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.020000000000000014,0.03,0.17999999999999997,0.17999999999999997,0.28,0.28,0.28
btc-updown-15m-1768852800,3.05,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.030000000000000027,0.03999999999999998,0.07,0.07,0.1
btc-updown-15m-1768853700,3.15,true,0.020000000000000014,0.030000000000000027,0.030000000000000027,0.03999999999999998,0.04999999999999999,0.07,0.09000000000000002,0.10000000000000003,0.12000000000000002,0.32000000000000006,0.32000000000000006
btc-updown-15m-1768854600,2.56,true,0,0.010000000000000007,0.02999999999999997,0.08999999999999997,0.08999999999999997,0.08999999999999997,0.09999999999999998,0.11,0.18999999999999995,0.18999999999999995,0.18999999999999995
btc-updown-15m-1768855500,-7.24,false,0,0,0.009999999999999952,0.009999999999999952,0.02999999999999997,0.06999999999999995,0.14999999999999997,0.2899999999999999,0.29999999999999993,0.4099999999999999,0.4099999999999999
btc-updown-15m-1768857300,2.85,true,0,0.010000000000000007,0.030000000000000027,0.04000000000000003,0.05000000000000005,0.05000000000000005,0.07,0.11000000000000004,0.18999999999999995,0.27,0.31
btc-updown-15m-1768859100,2.26,true,0.00999999999999998,0.00999999999999998,0.00999999999999998,0.01999999999999999,0.01999999999999999,0.03,0.15,0.24,0.24,0.26,0.30000000000000004
btc-updown-15m-1768860000,-7.24,false,0,0.009999999999999952,0.009999999999999952,0.009999999999999952,0.06,0.07,0.09999999999999998,0.09999999999999998,0.12,0.13,0.13
btc-updown-15m-1768862700,2.95,true,0,0,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.030000000000000027,0.15,0.15,0.27,0.35,0.47
btc-updown-15m-1768863600,2.66,true,0,0.010000000000000007,0.030000000000000027,0.030000000000000027,0.06,0.06,0.13,0.21999999999999997,0.23,0.25,0.29000000000000004
btc-updown-15m-1768864500,-7.15,false,0,0,0,0.009999999999999952,0.02999999999999997,0.03999999999999998,0.08000000000000002,0.08000000000000002,0.08999999999999997,0.23,0.27
btc-updown-15m-1768866300,2.76,true,0.010000000000000007,0.01999999999999996,0.01999999999999996,0.07,0.07,0.07,0.15999999999999998,0.15999999999999998,0.23,0.45,0.45
btc-updown-15m-1768867200,1.97,true,0.00999999999999998,0.00999999999999998,0.00999999999999998,0.00999999999999998,0.04999999999999999,0.13,0.15999999999999998,0.15999999999999998,0.32999999999999996,0.37,0.42999999999999994
btc-updown-15m-1768868100,2.56,true,0,0,0.020000000000000014,0.030000000000000027,0.04999999999999999,0.06,0.06,0.07,0.12,0.15000000000000002,0.27
btc-updown-15m-1768869000,2.76,true,0,0.010000000000000007,0.01999999999999996,0.01999999999999996,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.07999999999999996,0.14999999999999997
btc-updown-15m-1768869900,3.05,true,0,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.08000000000000002,0.11,0.12999999999999995,0.25,0.25
btc-updown-15m-1768870800,-7.15,false,0.009999999999999952,0.01999999999999996,0.02999999999999997,0.03999999999999998,0.04999999999999999,0.09,0.09,0.09,0.09,0.26,0.27
btc-updown-15m-1768871700,3.35,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.04000000000000003,0.04999999999999999,0.10000000000000003,0.10000000000000003,0.11,0.26000000000000006,0.36000000000000004
btc-updown-15m-1768872600,2.46,true,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.06,0.06,0.09000000000000002,0.09000000000000002,0.19,0.2,0.23
btc-updown-15m-1768873500,2.95,true,0,0,0.010000000000000007,0.020000000000000014,0.02999999999999997,0.02999999999999997,0.08999999999999997,0.09999999999999998,0.14,0.28,0.28
btc-updown-15m-1768874400,3.25,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.01999999999999996,0.02999999999999997,0.06,0.13,0.15999999999999998,0.18,0.18
btc-updown-15m-1768875300,2.95,true,0,0,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.03999999999999998,0.09999999999999998,0.11,0.14,0.15000000000000002,0.24
btc-updown-15m-1768876200,2.46,true,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.03,0.14,0.14,0.14,0.15999999999999998,0.25
btc-updown-15m-1768877100,-7.54,false,0.03,0.03,0.03,0.03,0.04000000000000001,0.05999999999999997,0.14,0.17999999999999997,0.17999999999999997,0.17999999999999997,0.17999999999999997
btc-updown-15m-1768878000,2.95,true,0,0,0.010000000000000007,0.04999999999999999,0.08000000000000002,0.08000000000000002,0.11,0.16999999999999998,0.21999999999999997,0.31000000000000005,0.31000000000000005
btc-updown-15m-1768878900,-7.64,false,0,0.00999999999999998,0.00999999999999998,0.1,0.12999999999999998,0.12999999999999998,0.14,0.14,0.17,0.22,0.23
btc-updown-15m-1768879800,-6.85,false,0,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.06,0.07,0.15000000000000002,0.24,0.32999999999999996,0.32999999999999996,0.32999999999999996
btc-updown-15m-1768880700,2.36,true,0,0,0,0.00999999999999998,0.00999999999999998,0.05999999999999997,0.15000000000000002,0.23,0.3700000000000001,0.4,0.4
btc-updown-15m-1768882500,2.07,true,0,0.060000000000000026,0.1,0.1,0.1,0.1,0.15,0.15,0.23,0.23,0.3400000000000001
btc-updown-15m-1768883400,-7.24,false,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.030000000000000027,0.06999999999999998,0.07999999999999999,0.12999999999999998,0.15999999999999998,0.16999999999999998,0.23,0.33999999999999997
