slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1761260400,112,8,4,27817
btc-updown-15m-1761264900,114,10,4,28305
btc-updown-15m-1761276600,78,8,6,19070
btc-updown-15m-1761281100,144,14,10,35813
btc-updown-15m-1761285600,108,18,16,26614
btc-updown-15m-1761290100,130,16,14,31913
btc-updown-15m-1761294600,92,10,8,22649
btc-updown-15m-1761299100,82,16,10,20139
btc-updown-15m-1761302700,116,12,10,28836
btc-updown-15m-1761321600,134,22,10,33125
btc-updown-15m-1761326100,62,2,2,15288
btc-updown-15m-1761330600,50,8,2,12442
btc-updown-15m-1761335100,62,18,8,15308
btc-updown-15m-1761347700,68,10,8,16941
btc-updown-15m-1761351300,136,40,28,33735
btc-updown-15m-1761355800,88,14,10,21915
btc-updown-15m-1761360300,62,6,6,15320
btc-updown-15m-1761369300,114,10,6,28177
btc-updown-15m-1761373800,136,20,18,33586
btc-updown-15m-1761378300,146,12,10,36602
btc-updown-15m-1761418800,56,6,2,14064
btc-updown-15m-1761423300,64,10,10,16289
btc-updown-15m-1761446700,34,8,8,8699
btc-updown-15m-1761451200,70,18,14,17500
btc-updown-15m-1761455700,82,14,10,20302
btc-updown-15m-1761544800,98,16,16,24093
btc-updown-15m-1761549300,166,20,12,40788
btc-updown-15m-1761553800,98,2,2,24275
btc-updown-15m-1761566400,156,16,8,38378
btc-updown-15m-1761570900,170,18,16,41807
btc-updown-15m-1761575400,214,18,12,53038
btc-updown-15m-1761579000,210,22,16,51897
btc-updown-15m-1761583500,160,10,10,39249
btc-updown-15m-1761588000,154,16,10,37535
btc-updown-15m-1761592500,54,0,0,13420
btc-updown-15m-1761605100,140,18,12,34931
btc-updown-15m-1761609600,174,20,16,43090
btc-updown-15m-1761613200,92,24,22,22847
btc-updown-15m-1761617700,108,4,4,26780
btc-updown-15m-1761622200,126,14,12,31498
btc-updown-15m-1761629400,86,2,2,21639
btc-updown-15m-1761633900,114,18,18,28283
btc-updown-15m-1761638400,120,8,6,29609
btc-updown-15m-1761642000,128,10,8,31541
btc-updown-15m-1761646500,114,18,16,28103
btc-updown-15m-1761651000,108,20,18,26384
btc-updown-15m-1761655500,92,12,10,22681
btc-updown-15m-1761660000,182,14,8,44959
btc-updown-15m-1761664500,136,14,12,33766
btc-updown-15m-1761668100,156,28,18,38568
btc-updown-15m-1761672600,130,8,6,32317
btc-updown-15m-1761677100,84,6,2,20802
btc-updown-15m-1761681600,94,6,2,23304
btc-updown-15m-1761686100,160,14,12,39871
btc-updown-15m-1761690600,118,10,8,29361
btc-updown-15m-1761711300,72,2,2,18007
btc-updown-15m-1761715800,50,10,6,12300
btc-updown-15m-1761720300,44,10,10,10759
btc-updown-15m-1761724800,58,0,0,14407
btc-updown-15m-1761729300,116,8,8,28509
btc-updown-15m-1761733800,166,14,6,41222
btc-updown-15m-1761737400,146,14,6,36069
btc-updown-15m-1761741900,138,12,10,33899
btc-updown-15m-1761746400,210,24,20,52158
btc-updown-15m-1761750900,204,36,32,50585
btc-updown-15m-1761755400,168,26,24,41495
btc-updown-15m-1761759900,168,20,20,41750
btc-updown-15m-1761763500,98,16,14,24321
btc-updown-15m-1761768000,262,40,34,65100
btc-updown-15m-1761772500,74,10,10,18313
btc-updown-15m-1761779700,144,38,36,35953
