month,t_sec,token,state,ask_band,n,n_wins,p_win,avg_ask,med_ask_sz,med_top3_ask
2025-10,840,down,ask_only,8,1,0,0.0,0.09,15.0,34.0
2025-10,840,down,two_sided,0,5,0,0.0,0.0094,846.0,1787.2
2025-10,840,down,two_sided,2,32,1,0.0313,0.025,29.0,363.7
2025-10,840,down,two_sided,4,20,0,0.0,0.046,49.2,236.0
2025-10,840,down,two_sided,6,23,0,0.0,0.0635,21.0,229.3
2025-10,840,down,two_sided,8,18,0,0.0,0.0889,24.0,307.3
2025-10,840,down,two_sided,10,15,0,0.0,0.1033,23.0,114.3
2025-10,840,down,two_sided,12,7,1,0.1429,0.1229,57.5,539.5
2025-10,840,down,two_sided,14,9,1,0.1111,0.1478,19.0,87.8
2025-10,840,down,two_sided,16,8,1,0.125,0.1638,19.9,308.4
2025-10,840,down,two_sided,18,9,0,0.0,0.1856,28.0,253.0
2025-10,840,down,two_sided,20,4,2,0.5,0.2025,21.4,145.6
2025-10,840,down,two_sided,22,5,0,0.0,0.228,38.4,514.8
2025-10,840,down,two_sided,24,3,0,0.0,0.24,10.0,154.0
2025-10,840,down,two_sided,26,2,0,0.0,0.26,22.4,357.6
2025-10,840,down,two_sided,28,4,0,0.0,0.285,7.5,84.3
2025-10,840,down,two_sided,30,11,5,0.4545,0.3045,25.0,88.2
2025-10,840,down,two_sided,32,6,1,0.1667,0.3233,26.0,222.8
2025-10,840,down,two_sided,34,5,1,0.2,0.346,20.0,510.0
2025-10,840,down,two_sided,36,2,0,0.0,0.37,14.3,184.8
2025-10,840,down,two_sided,38,4,2,0.5,0.385,5.5,59.0
2025-10,840,down,two_sided,40,4,2,0.5,0.4075,169.0,489.9
2025-10,840,down,two_sided,42,6,2,0.3333,0.4283,28.0,89.8
2025-10,840,down,two_sided,44,6,3,0.5,0.4467,46.0,138.8
2025-10,840,down,two_sided,46,6,2,0.3333,0.4633,13.5,81.5
2025-10,840,down,two_sided,48,1,0,0.0,0.48,17.0,339.6
2025-10,840,down,two_sided,50,4,3,0.75,0.505,61.3,257.2
2025-10,840,down,two_sided,52,5,3,0.6,0.522,60.7,107.5
2025-10,840,down,two_sided,54,5,1,0.2,0.546,15.0,45.0
2025-10,840,down,two_sided,56,4,4,1.0,0.5675,25.5,237.7
2025-10,840,down,two_sided,60,10,5,0.5,0.606,19.0,69.8
2025-10,840,down,two_sided,62,5,2,0.4,0.628,24.0,57.0
2025-10,840,down,two_sided,64,4,1,0.25,0.6475,139.5,552.1
2025-10,840,down,two_sided,66,6,5,0.8333,0.665,12.5,50.0
2025-10,840,down,two_sided,68,7,4,0.5714,0.6843,18.0,88.0
2025-10,840,down,two_sided,70,4,3,0.75,0.705,17.1,63.3
2025-10,840,down,two_sided,72,2,2,1.0,0.725,60.7,470.7
2025-10,840,down,two_sided,74,10,8,0.8,0.748,12.1,98.0
2025-10,840,down,two_sided,76,2,2,1.0,0.77,7.5,122.5
2025-10,840,down,two_sided,78,8,5,0.625,0.785,66.5,336.9
2025-10,840,down,two_sided,80,6,4,0.6667,0.8067,64.6,168.0
2025-10,840,down,two_sided,82,10,6,0.6,0.827,13.0,216.5
2025-10,840,down,two_sided,84,4,2,0.5,0.8475,121.2,341.8
2025-10,840,down,two_sided,86,7,7,1.0,0.8643,47.0,640.8
2025-10,840,down,two_sided,88,6,6,1.0,0.8867,29.0,619.0
2025-10,840,down,two_sided,90,8,7,0.875,0.9025,15.5,155.5
2025-10,840,down,two_sided,92,11,10,0.9091,0.9255,18.0,151.0
2025-10,840,down,two_sided,94,21,20,0.9524,0.9457,29.0,349.0
2025-10,840,down,two_sided,96,26,25,0.9615,0.9654,55.4,486.9
2025-10,840,down,two_sided,98,85,84,0.9882,0.9877,290.0,406.2
2025-10,840,up,ask_only,0,224,0,0.0,0.01,1059.0,1408.9
2025-10,840,up,ask_only,2,4,0,0.0,0.0225,65.2,434.8
2025-10,840,up,ask_only,4,4,0,0.0,0.045,45.5,374.4
2025-10,840,up,ask_only,6,3,0,0.0,0.0667,76.9,258.5
2025-10,840,up,ask_only,8,2,0,0.0,0.09,135.3,305.3
2025-10,840,up,ask_only,12,1,0,0.0,0.13,5.0,20.0
2025-10,840,up,two_sided,0,6,0,0.0,0.0088,2120.0,2795.3
2025-10,840,up,two_sided,2,34,0,0.0,0.0238,127.8,378.7
2025-10,840,up,two_sided,4,20,0,0.0,0.0445,93.9,351.5
2025-10,840,up,two_sided,6,20,1,0.05,0.0655,33.2,193.9
2025-10,840,up,two_sided,8,23,1,0.0435,0.0852,36.0,151.1
2025-10,840,up,two_sided,10,15,0,0.0,0.104,22.0,272.2
2025-10,840,up,two_sided,12,12,2,0.1667,0.1217,25.8,114.0
2025-10,840,up,two_sided,14,5,0,0.0,0.146,10.0,169.0
2025-10,840,up,two_sided,16,10,1,0.1,0.165,11.5,88.2
2025-10,840,up,two_sided,18,10,0,0.0,0.187,12.0,457.3
2025-10,840,up,two_sided,20,8,1,0.125,0.2037,17.5,94.8
2025-10,840,up,two_sided,22,5,1,0.2,0.224,10.0,317.0
2025-10,840,up,two_sided,24,7,2,0.2857,0.2429,22.0,38.0
2025-10,840,up,two_sided,26,7,3,0.4286,0.2657,19.0,63.0
2025-10,840,up,two_sided,28,8,4,0.5,0.29,19.0,90.0
2025-10,840,up,two_sided,30,4,2,0.5,0.305,325.8,359.3
2025-10,840,up,two_sided,32,7,0,0.0,0.3229,14.0,85.0
2025-10,840,up,two_sided,34,5,2,0.4,0.344,14.0,55.0
2025-10,840,up,two_sided,38,6,3,0.5,0.39,7.7,43.0
2025-10,840,up,two_sided,40,6,1,0.1667,0.4067,15.0,69.2
2025-10,840,up,two_sided,42,3,1,0.3333,0.4267,10.0,20.7
2025-10,840,up,two_sided,44,2,1,0.5,0.44,10.0,32.5
